# Protein abundances computed from file 'results/07_mapped.featureXML'
# Parameters (relevant only): method=top, top:N=3, top:aggregate=median
"protein"	"n_proteins"	"protein_score"	"n_peptides"	"abundance"
"NP_214519.2"	1	0.0	3	2.812586e06
"NP_214534.1"	1	0.0	3	1.027175e06
"NP_214555.1"	1	0.0	8	3.384809e06
"NP_214580.1"	1	0.0	15	2.77527e07
"NP_214703.1"	1	0.0	5	3.040541e06
"NP_214712.1"	1	0.0	3	9.28389e05
"NP_214725.1"	1	0.0	16	3.4575672e07
"NP_214756.1"	1	0.0	4	1.839256e06
"NP_214780.1"	1	0.0	27	3.405929e07
"NP_214864.1"	1	0.0	15	4.0282832e07
"NP_214898.1"	1	0.0	8	6.02076e06
"NP_214914.1"	1	0.0	5	1.029505e07
"NP_214937.1"	1	0.0	3	1.500629e06
"NP_214954.1"	1	0.0	17	4.8043512e07
"NP_214976.1"	1	0.0	11	1.8047916e07
"NP_215038.1"	1	0.0	3	2.68881859375e06
"NP_215181.1"	1	0.0	22	2.805769e07
"NP_215182.1"	1	0.0	30	3.273337e07
"NP_215186.1"	1	0.0	3	4.751034e06
"NP_215199.1"	1	0.0	6	1.6140788e07
"NP_215218.1"	1	0.0	4	2.786196e06
"NP_215313.1"	1	0.0	3	2.191499e06
"NP_215314.1"	1	0.0	4	6.729144e06
"NP_215330.1/NP_217633.1"	2	0.0	3	3.63613e06
"NP_215375.1"	1	0.0	6	4.8894018125e06
"NP_215411.1"	1	0.0	10	2.962735e07
"NP_215461.1"	1	0.0	3	1.936018e06
"NP_215533.1"	1	0.0	4	7.360528e06
"NP_215539.1"	1	0.0	4	2.5945e06
"NP_215586.1"	1	0.0	3	8.38874e05
"NP_215590.1"	1	0.0	3	2.605702e06
"NP_215610.1"	1	0.0	4	7.094449e06
"NP_215614.1"	1	0.0	3	3.433564e06
"NP_215649.1"	1	0.0	25	2.66389532e08
"NP_215697.1"	1	0.0	8	3.765495e06
"NP_215764.2"	1	0.0	10	6.740164e06
"NP_215844.1"	1	0.0	3	3.904916e06
"NP_215908.1"	1	0.0	4	5.828464e06
"NP_215952.1"	1	0.0	4	3.331924e06
"NP_215964.1"	1	0.0	3	6.36685e06
"NP_215965.1"	1	0.0	5	1.053975e07
"NP_215991.1"	1	0.0	20	2.958083e07
"NP_216043.1"	1	0.0	14	8.765363000000001e06
"NP_216052.1"	1	0.0	15	1.828342e07
"NP_216133.1"	1	0.0	3	2.09612e06
"NP_216143.1"	1	0.0	4	2.409272e06
"NP_216146.1"	1	0.0	6	2.127345e06
"NP_216348.1"	1	0.0	7	3.684098e06
"NP_216353.1"	1	0.0	16	2.714561e07
"NP_216392.1"	1	0.0	6	2.20700704e08
"NP_216424.1"	1	0.0	16	2.1604994e07
"NP_216441.2"	1	0.0	7	4.479762e06
"NP_216546.1"	1	0.0	5	2.206441e06
"NP_216564.2"	1	0.0	9	3.498928e06
"NP_216731.1"	1	0.0	8	8.229780999999999e06
"NP_216736.1"	1	0.0	10	2.976976e07
"NP_216738.1"	1	0.0	4	1.300905e07
"NP_216757.3"	1	0.0	18	4.9691112e07
"NP_216760.1"	1	0.0	3	9.517159e06
"NP_216774.1"	1	0.0	3	2.478453e06
"NP_216815.1"	1	0.0	5	1.972226e06
"NP_216895.1"	1	0.0	4	1.235876e06
"NP_216896.3"	1	0.0	3	2.540499e06
"NP_216907.1"	1	0.0	4	2.380584e06
"NP_216960.1"	1	0.0	4	1.930535e06
"NP_216992.1"	1	0.0	33	1.671332e07
"NP_217040.1"	1	0.0	47	2.443058e07
"NP_217071.1"	1	0.0	5	1.05889e06
"NP_217106.1"	1	0.0	13	8.710545e06
"NP_217139.1"	1	0.0	3	6.868627e06
"NP_217296.1"	1	0.0	8	1.297124e07
"NP_217299.1"	1	0.0	8	6.548771e06
"NP_217447.1"	1	0.0	7	5.553024e06
"NP_217449.1"	1	0.0	10	6.146376e06
"NP_217450.1"	1	0.0	6	3.377878e06
"NP_217451.1"	1	0.0	25	1.721914e07
"NP_217456.1"	1	0.0	51	2.93505792e08
"NP_217457.1"	1	0.0	3	2.704163e06
"NP_217483.1"	1	0.0	3	1.381886e06
"NP_217517.3"	1	0.0	3	4.040572e06
"NP_217667.1"	1	0.0	3	3.900504e06
"NP_217765.1"	1	0.0	15	1.31837104e08
"NP_217787.1"	1	0.0	3	2.844287e06
"NP_217791.1"	1	0.0	5	2.594753e06
"NP_217797.1"	1	0.0	3	2.704973e06
"NP_217802.1"	1	0.0	4	5.133975e06
"NP_217934.1"	1	0.0	9	6.440862e06
"NP_217935.1"	1	0.0	3	3.518107e06
"NP_217974.1"	1	0.0	3	3.189173e06
"NP_218163.1"	1	0.0	20	1.784452e07
"NP_218227.3"	1	0.0	4	5.323002e06
"NP_218317.1"	1	0.0	31	6.8058088e07
"NP_218318.1"	1	0.0	5	4.519218e06
"NP_218321.1"	1	0.0	3	8.677538e06
"NP_218342.1"	1	0.0	3	1.340835e06
"NP_218376.1"	1	0.0	33	8.308472e07
"NP_218391.1"	1	0.0	5	1.44609e07
"YP_177728.1"	1	0.0	6	1.4857289e07
"YP_177746.1"	1	0.0	8	3.258254e06
"YP_177754.1"	1	0.0	4	1.7553447e07
"YP_177758.1"	1	0.0	3	1.369866e06
"YP_177787.3"	1	0.0	4	4.017937e06
"YP_177855.1"	1	0.0	21	1.925778e07
"YP_177885.1"	1	0.0	10	2.158849e07
"YP_177916.1"	1	0.0	3	2.469978e06
